epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6389,1.19599,3.6463,1.17334,0.016,0.43636,0.01328,0.01039,0.79303,3.42625,0.87994,0.0001,0.0001,0.0001
2,45.5937,1.12923,3.27308,1.066,0.02533,0.69091,0.02787,0.01832,0.92386,3.26991,0.84242,0.000217822,0.000217822,0.000217822
3,66.5927,1.03124,2.55512,0.96283,0.026,0.70909,0.02899,0.01876,1.01363,3.05876,0.85718,0.000333268,0.000333268,0.000333268
4,87.9551,1.07116,2.47627,0.97482,0.02733,0.74545,0.03285,0.02157,0.95854,2.95135,0.85642,0.000446338,0.000446338,0.000446338
5,109.209,1.0424,2.35129,0.94407,0.02867,0.78182,0.0402,0.02845,1.0056,2.87626,0.85433,0.000557032,0.000557032,0.000557032
6,130.35,1.02436,2.23028,0.95067,0.03,0.81818,0.072,0.05413,0.99143,2.83201,0.86639,0.00066535,0.00066535,0.00066535
7,151.22,0.91479,2.2368,0.90905,0.028,0.76364,0.08748,0.06473,1.11957,2.84073,0.89243,0.000771292,0.000771292,0.000771292
8,171.973,0.91972,2.21446,0.92455,0.03,0.81818,0.05579,0.04282,1.15673,2.95464,0.91638,0.000874858,0.000874858,0.000874858
9,192.767,0.93218,2.13209,0.92368,0.02333,0.63636,0.03361,0.02306,1.3046,3.08849,0.95459,0.000976048,0.000976048,0.000976048
10,213.95,0.8953,2.08153,0.92452,0.02467,0.67273,0.04555,0.03362,1.16862,2.99228,0.92123,0.00107486,0.00107486,0.00107486
11,235.299,0.92847,2.11356,0.92772,0.026,0.70909,0.06059,0.0423,1.06986,2.82649,0.90096,0.0011713,0.0011713,0.0011713
12,256.037,0.95522,2.08918,0.9307,0.02733,0.74545,0.07587,0.05139,1.12872,2.68239,0.90864,0.00126536,0.00126536,0.00126536
13,276.92,0.98055,2.09165,0.92319,0.12723,0.27273,0.11212,0.08141,0.99553,2.46625,0.86737,0.00135705,0.00135705,0.00135705
14,297.756,0.90351,2.09958,0.90667,0.14004,0.36364,0.1343,0.09327,1.05561,2.28725,0.87472,0.00144636,0.00144636,0.00144636
15,318.979,1.01557,2.31139,0.93298,0.14547,0.61902,0.13272,0.0932,0.98767,2.19797,0.87055,0.00153329,0.00153329,0.00153329
16,340.411,0.96674,1.99408,0.91426,0.13651,0.54545,0.17692,0.1286,0.92731,2.14026,0.86235,0.00161785,0.00161785,0.00161785
17,361.773,0.94567,2.06028,0.93148,0.14491,0.43636,0.19589,0.13987,0.99501,2.13762,0.87396,0.0016832,0.0016832,0.0016832
