epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0091,1.15319,3.64619,1.15491,0.00667,0.8,0.01041,0.00755,0.52719,3.56114,0.81677,0.0001,0.0001,0.0001
2,44.0833,1.04955,3.21784,1.00523,0.00667,0.8,0.01058,0.00882,0.68499,3.43504,0.80158,0.000215644,0.000215644,0.000215644
3,64.9895,1.08354,2.54681,0.9732,0.0075,0.9,0.05673,0.02448,0.93024,3.40924,0.87549,0.000326536,0.000326536,0.000326536
4,85.8835,0.9389,2.38491,0.92719,0.00667,0.8,0.04024,0.01674,0.7281,3.29023,0.80869,0.000432676,0.000432676,0.000432676
5,106.782,1.02484,2.32653,0.94546,0.00667,0.8,0.04815,0.02975,0.6272,3.1961,0.7952,0.000534064,0.000534064,0.000534064
6,127.576,1.02645,2.29457,0.95993,0.0075,0.9,0.04042,0.02497,0.75913,3.13013,0.82097,0.0006307,0.0006307,0.0006307
7,148.294,0.96303,2.18585,0.91933,0.0075,0.9,0.05241,0.04617,0.67383,3.01185,0.80647,0.000722584,0.000722584,0.000722584
8,169.457,0.97662,2.12358,0.91631,0.0075,0.9,0.07271,0.06282,0.7224,2.94568,0.8313,0.000809716,0.000809716,0.000809716
9,190.168,0.90365,2.17528,0.91412,0.00667,0.8,0.0722,0.06038,0.66766,2.90558,0.81661,0.000892096,0.000892096,0.000892096
10,210.9,0.94725,2.16843,0.91859,0.00667,0.8,0.06637,0.05859,0.56909,2.81644,0.79486,0.000969724,0.000969724,0.000969724
11,231.844,0.92112,2.08613,0.91025,0.00667,0.8,0.06596,0.05566,0.63755,2.72136,0.80779,0.0010426,0.0010426,0.0010426
12,252.642,0.93458,2.03654,0.91167,0.05532,0.8,0.07063,0.06231,0.66606,2.69432,0.80558,0.00111072,0.00111072,0.00111072
13,273.399,0.98037,2.08453,0.92362,0.06633,0.8,0.07537,0.06602,0.77799,2.68982,0.82657,0.0011741,0.0011741,0.0011741
14,294.277,0.9648,2.07158,0.91328,0.04031,0.8,0.08221,0.07179,0.67853,2.63072,0.80855,0.00123272,0.00123272,0.00123272
15,315.001,0.93817,2.08588,0.93019,0.04216,0.8,0.08071,0.06908,0.69316,2.61594,0.81017,0.00128658,0.00128658,0.00128658
16,335.69,0.86772,2.08686,0.89255,0.05819,0.8,0.07464,0.06154,0.70628,2.53796,0.81617,0.0013357,0.0013357,0.0013357
17,356.727,0.91422,2.07635,0.91399,0.05759,0.4,0.07395,0.06402,0.62486,2.53913,0.81538,0.0013664,0.0013664,0.0013664
18,377.425,0.84776,1.95397,0.90686,0.05865,0.3,0.06375,0.05367,0.71602,2.71223,0.83894,0.0013268,0.0013268,0.0013268
19,398.55,0.92815,2.07606,0.94063,0.06524,0.3,0.07058,0.06158,0.67758,2.7546,0.82791,0.0012872,0.0012872,0.0012872
20,419.326,0.91217,2.15734,0.91259,0.06686,0.3,0.0912,0.08034,0.6244,2.69764,0.80461,0.0012476,0.0012476,0.0012476
21,440.096,0.82459,1.93603,0.88929,0.05294,0.4,0.07286,0.06293,0.60528,2.69185,0.80793,0.001208,0.001208,0.001208
22,461.144,0.85612,2.00682,0.89797,0.06356,0.4,0.09344,0.08179,0.58608,2.79129,0.80513,0.0011684,0.0011684,0.0011684
23,482.161,0.85624,1.97485,0.88936,0.06235,0.4,0.09462,0.08249,0.57438,2.89106,0.80258,0.0011288,0.0011288,0.0011288
24,502.931,0.86484,2.04168,0.9186,0.06934,0.6,0.0652,0.05693,0.56494,3.0531,0.80282,0.0010892,0.0010892,0.0010892
25,524.234,0.84339,1.91334,0.89143,0.05509,0.5,0.06439,0.05585,0.59427,3.05751,0.80796,0.0010496,0.0010496,0.0010496
26,545.514,0.85558,1.98471,0.88085,0.12717,0.6,0.11267,0.09562,0.62401,2.95392,0.81219,0.00101,0.00101,0.00101
27,566.367,0.83305,2.03805,0.89217,0.17889,0.6,0.14448,0.12436,0.59844,2.8918,0.80586,0.0009704,0.0009704,0.0009704
28,587.395,0.84477,1.95524,0.89768,0.15094,0.4,0.14032,0.12075,0.60388,2.67874,0.80389,0.0009308,0.0009308,0.0009308
29,608.256,0.85604,1.97206,0.886,0.16712,0.4,0.14903,0.1292,0.57752,2.63071,0.79205,0.0008912,0.0008912,0.0008912
30,629.096,0.79363,1.91858,0.88133,0.20647,0.4,0.22106,0.20486,0.51467,2.60692,0.78183,0.0008516,0.0008516,0.0008516
31,650.222,0.84888,2.03286,0.88273,0.26148,0.4,0.16156,0.14178,0.51498,2.58824,0.79127,0.000812,0.000812,0.000812
32,671.169,0.77181,1.89144,0.88383,0.08801,0.5,0.1373,0.12195,0.53018,2.66251,0.7933,0.0007724,0.0007724,0.0007724
33,692.025,0.79915,1.91986,0.87656,0.11017,0.4,0.18163,0.16352,0.51276,2.79817,0.79172,0.0007328,0.0007328,0.0007328
34,713.458,0.79656,1.89834,0.8733,0.1502,0.3,0.15234,0.14425,0.48156,3.01982,0.79614,0.0006932,0.0006932,0.0006932
35,734.502,0.80185,1.83809,0.90514,0.12542,0.3,0.16844,0.1571,0.48185,3.08329,0.79409,0.0006536,0.0006536,0.0006536
36,755.484,0.74278,1.84358,0.86953,0.13368,0.5,0.10546,0.09698,0.51758,3.04588,0.79841,0.000614,0.000614,0.000614
37,776.584,0.73946,1.79297,0.87228,0.11013,0.5,0.10541,0.09833,0.51026,2.9491,0.80304,0.0005744,0.0005744,0.0005744
38,797.574,0.73182,1.8422,0.86919,0.1133,0.5,0.10814,0.10143,0.50544,2.67192,0.80122,0.0005348,0.0005348,0.0005348
39,818.674,0.76556,1.81263,0.85681,0.15187,0.5,0.11521,0.1046,0.50053,2.56887,0.80189,0.0004952,0.0004952,0.0004952
40,839.707,0.78421,1.84816,0.86739,0.14882,0.6,0.11864,0.10788,0.53171,2.56367,0.80536,0.0004556,0.0004556,0.0004556
41,860.756,0.71047,1.93627,0.86325,0.12225,0.6,0.09326,0.08445,0.55875,2.59516,0.80471,0.000416,0.000416,0.000416
42,881.898,0.71251,1.86605,0.8643,0.10843,0.6,0.10958,0.09874,0.60246,2.6544,0.80519,0.0003764,0.0003764,0.0003764
43,902.59,0.66241,1.84892,0.83527,0.12383,0.5,0.13144,0.11867,0.58508,2.65354,0.80281,0.0003368,0.0003368,0.0003368
44,923.397,0.69371,1.8704,0.84822,0.12197,0.5,0.17786,0.17207,0.54444,2.67589,0.79783,0.0002972,0.0002972,0.0002972
45,944.722,0.68043,1.86195,0.82842,0.15108,0.6,0.22375,0.2165,0.55337,2.71285,0.79923,0.0002576,0.0002576,0.0002576
46,966.24,0.66419,1.81933,0.82794,0.12686,0.6,0.22257,0.20587,0.59592,2.86079,0.80476,0.000218,0.000218,0.000218
47,988.498,0.68091,1.901,0.82623,0.11692,0.6,0.2453,0.22617,0.60035,2.9152,0.80493,0.0001784,0.0001784,0.0001784
48,1011.28,0.68121,1.86045,0.84365,0.09481,0.74395,0.20289,0.18528,0.57582,2.97378,0.80193,0.0001388,0.0001388,0.0001388
49,1033.53,0.65136,1.87398,0.83995,0.10405,0.8,0.1865,0.17016,0.56138,3.00811,0.80002,9.92e-05,9.92e-05,9.92e-05
50,1055.98,0.67685,1.8379,0.83761,0.09916,0.8,0.20198,0.18748,0.54163,3.0536,0.79731,5.96e-05,5.96e-05,5.96e-05
